,result_1,result_2,result_3,result_4,result_5,result_6
0,"['Amy Schumer', 'Aziz Ansari', 'Dave Chappelle', 'Ronny Chieng', 'Vir Das']","['Amy Schumer', 'Arsenio Hall', 'Aziz Ansari', 'Chris Rock', 'Joe Rogan', 'Kevin Hart', 'Ronny Chieng', 'Sebastian Maniscalco', 'Vir Das']","['Amy Schumer', 'CHRIS ROCK', 'Hasan Minhaj', 'Joe Rogan', 'Kevin Hart', 'Michael McIntyre', 'Vir Das', 'Whitney Cummings']","['Amy Schumer', 'Aziz Ansari', 'Jimmy O. Yang', 'Mike Epps', 'Ronny Chieng']","['Amy Schumer', 'Aziz Ansari', 'Hasan Minhaj', 'Ronny Chieng']","['Amy Schumer', 'CHRIS ROCK', 'Chris Rock', 'Kevin Hart', 'Mike Epps', 'Neal Brennan', 'Vir Das']"
1,"['Arsenio Hall', 'CHRIS ROCK', 'Chris Rock', 'JACK WHITEHALL', 'Sebastian Maniscalco']","['CHRIS ROCK', 'Hasan Minhaj', 'Jimmy O. Yang', 'Jo Koy', 'MICHAEL CHE', 'Neal Brennan']","['Arsenio Hall', 'Dave Chappelle', 'Mike Epps', 'Neal Brennan', 'Russell Peters']","['Arsenio Hall', 'Chris Rock', 'Dave Chappelle', 'Jo Koy', 'Joe Rogan', 'Kevin Hart', 'MICHAEL CHE', 'Michael McIntyre', 'Sebastian Maniscalco', 'Vir Das', 'Whitney Cummings']","['Arsenio Hall', 'CHRIS ROCK', 'JO KOY', 'Jimmy O. Yang', 'Jo Koy', 'Joe Rogan', 'Neal Brennan', 'Trevor Noah', 'Vir Das']","['Arsenio Hall', 'Hasan Minhaj', 'Trevor Noah']"
2,"['Hasan Minhaj', 'Jimmy O. Yang', 'Joe Rogan', 'MICHAEL CHE', 'Neal Brennan', 'Trevor Noah']","['Dave Chappelle', 'JO KOY', 'Mike Epps', 'Trevor Noah', 'Whitney Cummings']","['Aziz Ansari', 'JO KOY', 'Jimmy O. Yang', 'Jo Koy', 'Trevor Noah']","['CHRIS ROCK', 'JO KOY', 'Neal Brennan', 'Russell Peters']","['Chris Rock', 'Dave Chappelle', 'MICHAEL CHE', 'Michael McIntyre', 'Sebastian Maniscalco']","['Aziz Ansari', 'Dave Chappelle', 'JO KOY', 'Jo Koy', 'Joe Rogan', 'MICHAEL CHE', 'Russell Peters']"
3,"['JO KOY', 'Jo Koy', 'Kevin Hart', 'Michael McIntyre', 'Mike Epps', 'Russell Peters', 'Whitney Cummings']","['JACK WHITEHALL', 'Michael McIntyre', 'Russell Peters']","['Chris Rock', 'JACK WHITEHALL', 'MICHAEL CHE', 'Ronny Chieng', 'Sebastian Maniscalco']","['Hasan Minhaj', 'JACK WHITEHALL', 'Trevor Noah']","['JACK WHITEHALL', 'Kevin Hart', 'Mike Epps', 'Russell Peters', 'Whitney Cummings']","['JACK WHITEHALL', 'Jimmy O. Yang', 'Michael McIntyre', 'Ronny Chieng', 'Sebastian Maniscalco', 'Whitney Cummings']"
